k	term	gloss	blind	missing
w3802	nestle	לשכון בנוחות, להיות מוקם בחיק; להתכרבל	להצטנף	1:להצטנף
w3808	obedience	ציות	ציות | צייתנות	2:צייתנות
w3810	obscure	סתום, לא ידוע; לטשטש	מעורפל | להסתיר	1:מעורפל | 2:להסתיר
w3812	ode	שיר הלל	אודה | שיר שבח	1:אודה | 2:שיר שבח
w3813	officiate	לכהן, לערוך	לכהן | לערוך טקס	2:לערוך טקס
w3816	omniscient	יודע כול; מספר כל-יודע	כל-יודע	1:כל-יודע
w3818	outspoken	מדבר גלויות, ישיר	ישיר | בוטה	2:בוטה
w3819	overhaul	שיפוץ, אוברול	לשפץ | שיפוץ | רפורמה	1:לשפץ | 3:רפורמה
w3821	paramount	בעל חשיבות עליונה	עליון | חשוב ביותר	1:עליון | 2:חשוב ביותר
w3825	penned	כָּתַב	לכתוב | לכלוא	1:לכתוב | 2:לכלוא
w3826	perch	ענף; נח, ישב על ענף	לשבת | מוט	1:לשבת | 2:מוט
w3830	pervasive	מתפשט, מחלחל	נפוץ | רווח	1:נפוץ | 2:רווח
w3831	plausible	סביר, מתקבל על הדעת	סביר | אמין	2:אמין
w3833	plight	צרה, סכנה	מצוקה | מצב קשה	1:מצוקה | 2:מצב קשה
w3835	poacher	מסיג גבול, צייד לא מורשה	צייד לא-חוקי	1:צייד לא-חוקי
w3837	populous	מאוכלס בצפיפות	רב אוכלוסין	1:רב אוכלוסין
w3839	posterity	הדורות הבאים	דורות הבאים	1:דורות הבאים
w3841	poultry	עוף	עופות	1:עופות
w3842	predecessors	קודמים	קודם	1:קודם
w3843	predestined	נקבע מראש	נועד מראש | מיועד	1:נועד מראש | 2:מיועד
w3844	preside	לנהל	לנהל | לכהן	2:לכהן
w3845	pretext	אמתלה, תואנה	תירוץ | תואנה	1:תירוץ
w3847	proliferate	התפשט במהירות	להתרבות	1:להתרבות
w3849	prompt	לגרום, לעורר; מיידי	מיידי | לעורר | הנחיה	3:הנחיה
w3850	prompted	הביא לידי	לעורר | לגרום	1:לעורר | 2:לגרום
w3853	prowess	מיומנות, יכולת	מיומנות | גבורה	2:גבורה
w3855	quarrelsome	וכחני	נוטה לריב | קנטרן	1:נוטה לריב | 2:קנטרן
w3856	quench	לספק, להרוות	להרוות | לכבות | להשקיט	2:לכבות | 3:להשקיט
w3857	rearing	גידול, טיפוח	גידול | להזדקף	2:להזדקף
w3862	reconcile	להתפייס; ליישב (סתירות), לגשר בין, להתאים	לפייס | להשלים עם	1:לפייס | 2:להשלים עם
w3864	reigned	משל, שלט	למלוך	1:למלוך
w3866	relapse	הדרדר, הישנות	הישנות | להישנות	2:להישנות
w3867	relegated	הורד בדרגה	להוריד בדרגה	1:להוריד בדרגה
w3868	render	להפוך ל-, לגרום; להגיש	להפוך | לעבד	1:להפוך | 2:לעבד
w3870	resent	לחוש טינה, להתרעם על	להתמרמר | לחוש טינה	1:להתמרמר
w3871	respective	שייך בהתאמה	מתאים | פרטני	1:מתאים | 2:פרטני
w3874	resurgence	תחייה	התעוררות מחדש | תחייה	1:התעוררות מחדש
w3876	rotary	נע על ציר סיבובי	סיבובי | כיכר תנועה	1:סיבובי | 2:כיכר תנועה
w3878	sarcophagus	ארון קבורה קדום	סרקופג | ארון קבורה	1:סרקופג | 2:ארון קבורה
w3879	scales	קשקשים (של דג)	מאזניים | קשקשים | סולם	1:מאזניים | 3:סולם
w3882	scrutinize	בדק, בחן	לבחון | לבדוק בקפידה	1:לבחון | 2:לבדוק בקפידה
w3883	sensations	חדשות מרעישות	תחושה | סנסציה	1:תחושה | 2:סנסציה
w3884	sheer	מוחלט, לחלוטין; שקוף; משופע, תלול	מוחלט | טהור | שקוף	2:טהור
w3885	shingles	רעף	שלבקת חוגרת | רעף	1:שלבקת חוגרת
w3886	shroud	תכריך, עטיפה	תכריך | לאפוף	2:לאפוף
w3888	slant	אלכסון, נטייה	הטיה | שיפוע	1:הטיה | 2:שיפוע
w3889	slate	להכניס מישהו לרשימה; רעף, לוח	צפחה | לוח	1:צפחה
w3891	snarl	לנהום בחשיפת שיניים, לרטון בכעס; סבך/פקק	לנהום	1:לנהום
w3892	snicker	גיחוך	לצחקק | צחקוק	1:לצחקק | 2:צחקוק
w3893	soar	להמריא	לדאות | לזנק	1:לדאות | 2:לזנק
w3894	solicit	לשדל / להדיח; לבקש/לחפש בתחינה	לבקש | לגייס	1:לבקש | 2:לגייס
w3895	solitude	בדידות	בדידות | התבודדות	2:התבודדות
w3896	speck	גרגר זעיר, נקודה זעירה, פירור	נקודה	1:נקודה
w3897	spewing	פולט/מתיז בעוצמה, מקיא	לפלוט | להקיא	1:לפלוט | 2:להקיא
w3898	splendor	פאר	פאר | הדר	2:הדר
w3899	sprang	קפץ, זינק; נבע, צמח (עבר של spring)	לקפוץ | לנבוע	1:לקפוץ | 2:לנבוע
w3900	sprawling	משתרע על שטח נרחב; מתפשט ללא סדר	משתרע	1:משתרע
w3901	staple	מצרך יסוד, מוצר בסיסי; עיקרי; סיכת הידוק	בסיסי | סיכת שדכן | לשדך	1:בסיסי | 2:סיכת שדכן | 3:לשדך
w3902	stark	בוטה, מוחלט, גמור; שומם, עזוב	קיצוני | קודר	1:קיצוני | 2:קודר
w3904	staunch	נאמן, מסור, איתן בדעתו; לעצור זרימה/דימום	נאמן | איתן	2:איתן
w3905	streamlined	יעיל וחסכוני; אווירודינמי, מעוצב לזרימה	יעיל	1:יעיל
w3906	stricken	מוכה	פגוע | מוכה	1:פגוע
w3907	strife	מאבק, עימות	מאבק | סכסוך	2:סכסוך
w3909	subdue	להכניע	להכניע | לרסן	2:לרסן
w3912	susceptibility	רגישות, פגיעות	רגישות | נטייה	2:נטייה
w3913	susceptible	רגיש ל-, חשוף ל-, נוטה ל-	רגיש | נוטה	1:רגיש | 2:נוטה
w3914	swindler	רמאי	נוכל | רמאי	1:נוכל
w3916	taint	לזהם; להכתים, להכפיש	להכתים | כתם	2:כתם
w3918	tentative	זמני, לא סופי, מהוסס	זמני | ניסיוני | מהוסס	2:ניסיוני
w3919	thereby	ובכך, על ידי כך, ולכן	בכך	1:בכך
w3922	tinker	להתעסק, לחטט, לנסות לשפר בשינויים קטנים	להתעסק | לתקן	2:לתקן
w3923	tormented	לייסר, לענות	לייסר | מיוסר | להציק	2:מיוסר | 3:להציק
w3924	tranquilize	להרגיע, להרדים	להרגיע | לסמם	2:לסמם
w3925	transcend	להתעלות	להתעלות | לחרוג	2:לחרוג
w3928	underlies	מונח ביסוד, נמצא מתחת ל-	לעמוד בבסיס	1:לעמוד בבסיס
w3930	upheaval	מהפך	טלטלה | מהפך | תהפוכה	1:טלטלה | 3:תהפוכה
w3931	uphold	להחזיק, לתמוך, לדגול	לקיים | לתמוך	1:לקיים
w3933	uproar	רעש, מהומה	מהומה | סערה	2:סערה
w3934	usher	סדרן	סדרן | ללוות	2:ללוות
w3936	veracity	אמיתוּת, דבקות באמת; דיוק, התאמה לעובדות	אמיתות | אמינות	2:אמינות
w3937	vertebrate	בעל חוליות	חולייתן	1:חולייתן
w3941	vocation	מקצוע	ייעוד | מקצוע	1:ייעוד
w3944	withhold	לעכב, לעצור, לא לתת	להסתיר | לעכב	1:להסתיר
w3945	wrought	מעוצב, מחושל	מעובד	1:מעובד
